Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1.2,1.3,1.3,1.3,1.3,1.2727272727272727,1.2727272727272727
1.2,1.3,1.3,1.3,1.3,1.2727272727272727,1.2727272727272727
1.2,1.2,1.3,1.3,1.4,1.3636363636363635,1.3636363636363635
1.2,1.2,1.2,1.3,1.3,1.3636363636363635,1.3636363636363635
1.1,1.1,1.1,1.1,1.1,1.1818181818181819,1.1818181818181819
1.0,1.0,1.0,1.0,1.0,1.0909090909090908,1.0909090909090908
1.2,1.2,1.2,1.2,1.1,1.0,1.0909090909090908
1.5,1.6,1.5,1.5,1.3,1.0,1.0
1.8,1.8,1.8,1.7,1.5,1.0,1.0
1.4,1.5,1.4,1.4,1.3,1.0909090909090908,1.0
1.3,1.3,1.3,1.3,1.3,1.0909090909090908,1.0909090909090908
1.3,1.4,1.4,1.4,1.3,1.1818181818181819,1.0909090909090908
1.4,1.4,1.4,1.4,1.4,1.1818181818181819,1.1818181818181819
1.4,1.4,1.4,1.4,1.5,1.2727272727272727,1.1818181818181819
1.4,1.5,1.5,1.5,1.6,1.2727272727272727,1.1818181818181819
1.7,1.8,1.8,1.9,1.8,1.2727272727272727,1.1818181818181819
1.9,2.0,2.0,2.0,1.7,1.2727272727272727,1.1818181818181819
1.6,1.6,1.6,1.6,1.5,1.1818181818181819,1.1818181818181819
1.4,1.4,1.5,1.4,1.4,1.1818181818181819,1.1818181818181819
1.4,1.4,1.4,1.4,1.3,1.1818181818181819,1.1818181818181819
1.3,1.3,1.3,1.3,1.3,1.1818181818181819,1.0909090909090908
1.3,1.3,1.3,1.3,1.3,1.1818181818181819,1.0909090909090908
1.3,1.3,1.4,1.4,1.3,1.1818181818181819,1.0909090909090908
1.3,1.3,1.3,1.3,1.4,1.2727272727272727,1.0909090909090908
