hour,every_15_minutes,probability
0,0,0.008955208849971929
0,1,0.008935067812356022
0,2,0.008418953723448449
0,3,0.008303142757156991
1,0,0.00816719075324963
1,1,0.00803123874934227
1,2,0.007484913104010836
1,3,0.007404348953547214
2,0,0.00732882006248757
2,1,0.006905858272553556
2,2,0.006931034569573438
2,3,0.006654095302354739
3,0,0.0066415071538447985
3,1,0.006719553674606431
3,2,0.006135463583745175
3,3,0.006178263288678975
4,0,0.00544059778599644
4,1,0.005339892597916913
4,2,0.0049622481426186875
4,3,0.005017635996062427
5,0,0.004947142364406758
5,1,0.004879166362453078
5,2,0.005017635996062427
5,3,0.00486154295453916
6,0,0.0049169308079829
6,1,0.005203940594009552
6,2,0.005188834815797623
6,3,0.005649561051261459
7,0,0.005959229504606004
7,1,0.006286521365864466
7,2,0.006616330856824917
7,3,0.0075705125138784335
8,0,0.00819740230967349
8,1,0.008564976246163761
8,2,0.010229129479177944
8,3,0.011160652468913568
9,0,0.011578578999443603
9,1,0.01179005989441061
9,2,0.012155116201198895
9,3,0.012839911480139679
10,0,0.013544847796696366
10,1,0.013587647501630166
10,2,0.014076067663815871
10,3,0.013809198915405125
11,0,0.013919974622292604
11,1,0.013824304693617053
11,2,0.013950186178716462
11,3,0.014013126921266167
12,0,0.013426519200702923
12,1,0.012862570147457572
12,2,0.01329308482649755
12,3,0.012963275335537098
13,0,0.013600235650140105
13,1,0.013889763065868746
13,2,0.014020679810372132
13,3,0.014111314479643705
14,0,0.014259854632061007
14,1,0.013557435945206307
14,2,0.013194897268120011
14,3,0.013084121561232532
15,0,0.01232631502093409
15,1,0.012691371327722375
15,2,0.01264605399308659
15,3,0.012449678876331511
16,0,0.013101744969146447
16,1,0.013046357115702708
16,2,0.012716547624742258
16,3,0.012849981998947631
17,0,0.012822288072225761
17,1,0.012462267024841453
17,2,0.012489960951563323
17,3,0.012263374278384387
18,0,0.012462267024841453
18,1,0.012570525102026943
18,2,0.012416949690205665
18,3,0.012500031470371275
19,0,0.012527725397093145
19,1,0.012980898743451015
19,2,0.0126435363633846
19,3,0.01257556036143092
20,0,0.012638501103980624
20,1,0.01249247858126531
20,2,0.012550384064411039
20,3,0.012983416373153004
21,0,0.012613324806960743
21,1,0.01275431207027208
21,2,0.012610807177258754
21,3,0.012087140199245214
22,0,0.010951689203648548
22,1,0.01068985571464178
22,2,0.010312211259343554
22,3,0.010070518807952688
23,0,0.009496499235899385
23,1,0.009979884138681115
23,2,0.0094083821963298
23,3,0.009259842043912498
