grid_row,grid_col,counts
6602,255,27
6602,256,88
6602,257,9
6603,254,6
6603,255,64
6603,256,87
6603,257,23
6604,254,2
6604,255,47
6604,256,238
6604,257,8
6604,258,3
6604,259,1
6604,261,1
6605,255,147
6605,256,198
6605,257,103
6605,258,68
6605,259,6
6605,260,3
6605,261,1
6606,255,22
6606,256,259
6606,257,94
6606,258,9
6606,259,16
6607,254,2
6607,255,16
6607,256,22
6607,257,3
6607,258,38
6607,259,35
6607,260,11
6607,261,1
6608,254,1
6608,255,4
6608,256,15
6608,257,2
6608,258,14
6608,259,86
6608,260,12
6608,261,12
6609,254,3
6609,255,2
6609,256,4
6609,257,12
6609,258,17
6609,259,6
6609,261,5
6609,262,8
6610,254,13
6610,255,3
6610,256,8
6610,258,15
6610,259,28
6610,260,4
6610,261,5
6610,263,2
6610,264,2
6610,265,2
6611,256,1
6611,257,2
6611,258,3
6611,259,34
6611,260,5
6611,261,3
6611,262,2
6611,263,21
6611,264,2
6611,265,3
6612,254,2
6612,255,2
6612,257,19
6612,258,12
6612,259,26
6612,260,2
6612,261,11
6612,262,35
6612,263,7
6612,264,1
6612,265,1
6612,266,1
6612,304,2
6613,254,10
6613,255,13
6613,256,5
6613,257,43
6613,258,78
6613,259,46
6613,260,3
6613,262,1
6613,264,12
6613,265,2
6613,266,1
6613,304,6
6613,305,9
6614,254,20
6614,255,32
6614,256,5
6614,257,229
6614,258,37
6614,259,187
6614,260,596
6614,261,29
6614,264,1
6614,265,12
6614,303,11
6614,304,1
6615,254,8
6615,255,8
6615,256,4
6615,257,4
6615,258,11
6615,259,175
6615,260,446
6615,261,8
6615,262,4
6615,264,2
6615,267,5
6615,268,6
6615,302,1
6615,303,13
6616,254,12
6616,255,2
6616,257,5
6616,258,1
6616,259,138
6616,260,134
6616,261,3
6616,262,7
6616,263,7
6616,264,5
6616,265,1
6616,266,15
6616,267,1
6616,268,1
6616,302,2
6616,303,3
6616,307,3
6617,254,7
6617,255,8
6617,257,3
6617,258,2
6617,259,104
6617,260,2
6617,261,2
6617,262,4
6617,264,2
6617,265,5
6617,266,3
6617,269,1
6617,270,3
6617,301,2
6617,302,1
6618,254,5
6618,255,12
6618,256,7
6618,257,5
6618,258,1
6618,259,1
6618,260,2
6618,262,4
6618,263,1
6618,264,7
6618,265,60
6618,266,3
6618,269,1
6618,270,8
6618,271,3
6618,306,25
6619,254,40
6619,255,12
6619,256,16
6619,257,5
6619,258,7
6619,259,8
