grid_row,grid_col,probability
6602,255,6.797600195368065e-05
6602,256,0.00022155141377495915
6602,257,2.265866731789355e-05
6603,254,1.5105778211929033e-05
6603,255,0.00016112830092724302
6603,256,0.00021903378407297098
6603,257,5.790548314572796e-05
6604,254,5.0352594039763445e-06
6604,255,0.00011832859599344409
6604,256,0.000599195869073185
6604,257,2.0141037615905378e-05
6604,258,7.552889105964516e-06
6604,259,2.5176297019881722e-06
6604,261,2.5176297019881722e-06
6605,255,0.00037009156619226133
6605,256,0.0004984906809936581
6605,257,0.0002593158593047817
6605,258,0.00017119881973519572
6605,259,1.5105778211929033e-05
6605,260,7.552889105964516e-06
6605,261,2.5176297019881722e-06
6606,255,5.538785344373979e-05
6606,256,0.0006520660928149366
6606,257,0.00023665719198688817
6606,258,2.265866731789355e-05
6606,259,4.0282075231810756e-05
6607,254,5.0352594039763445e-06
6607,255,4.0282075231810756e-05
6607,256,5.538785344373979e-05
6607,257,7.552889105964516e-06
6607,258,9.566992867555054e-05
6607,259,8.811703956958602e-05
6607,260,2.7693926721869894e-05
6607,261,2.5176297019881722e-06
6608,254,2.5176297019881722e-06
6608,255,1.0070518807952689e-05
6608,256,3.776444552982258e-05
6608,257,5.0352594039763445e-06
6608,258,3.524681582783441e-05
6608,259,0.0002165161543709828
6608,260,3.0211556423858065e-05
6608,261,3.0211556423858065e-05
6609,254,7.552889105964516e-06
6609,255,5.0352594039763445e-06
6609,256,1.0070518807952689e-05
6609,257,3.0211556423858065e-05
6609,258,4.279970493379893e-05
6609,259,1.5105778211929033e-05
6609,261,1.2588148509940862e-05
6609,262,2.0141037615905378e-05
6610,254,3.272918612584624e-05
6610,255,7.552889105964516e-06
6610,256,2.0141037615905378e-05
6610,258,3.776444552982258e-05
6610,259,7.049363165566881e-05
6610,260,1.0070518807952689e-05
6610,261,1.2588148509940862e-05
6610,263,5.0352594039763445e-06
6610,264,5.0352594039763445e-06
6610,265,5.0352594039763445e-06
6611,256,2.5176297019881722e-06
6611,257,5.0352594039763445e-06
6611,258,7.552889105964516e-06
6611,259,8.559940986759786e-05
6611,260,1.2588148509940862e-05
6611,261,7.552889105964516e-06
6611,262,5.0352594039763445e-06
6611,263,5.2870223741751614e-05
6611,264,5.0352594039763445e-06
6611,265,7.552889105964516e-06
6612,254,5.0352594039763445e-06
6612,255,5.0352594039763445e-06
6612,257,4.783496433777527e-05
6612,258,3.0211556423858065e-05
6612,259,6.545837225169248e-05
6612,260,5.0352594039763445e-06
6612,261,2.7693926721869894e-05
6612,262,8.811703956958602e-05
6612,263,1.7623407913917204e-05
6612,264,2.5176297019881722e-06
6612,265,2.5176297019881722e-06
6612,266,2.5176297019881722e-06
6612,304,5.0352594039763445e-06
6613,254,2.5176297019881723e-05
6613,255,3.272918612584624e-05
6613,256,1.2588148509940862e-05
6613,257,0.0001082580771854914
6613,258,0.00019637511675507744
6613,259,0.00011581096629145593
6613,260,7.552889105964516e-06
6613,262,2.5176297019881722e-06
6613,264,3.0211556423858065e-05
6613,265,5.0352594039763445e-06
6613,266,2.5176297019881722e-06
6613,304,1.5105778211929033e-05
6613,305,2.265866731789355e-05
6614,254,5.035259403976345e-05
6614,255,8.056415046362151e-05
6614,256,1.2588148509940862e-05
6614,257,0.0005765372017552914
6614,258,9.315229897356237e-05
6614,259,0.0004707967542717882
6614,260,0.0015005073023849505
6614,261,7.301126135765699e-05
6614,264,2.5176297019881722e-06
6614,265,3.0211556423858065e-05
6614,303,2.7693926721869894e-05
6614,304,2.5176297019881722e-06
6615,254,2.0141037615905378e-05
6615,255,2.0141037615905378e-05
6615,256,1.0070518807952689e-05
6615,257,1.0070518807952689e-05
6615,258,2.7693926721869894e-05
6615,259,0.0004405851978479301
6615,260,0.0011228628470867248
6615,261,2.0141037615905378e-05
6615,262,1.0070518807952689e-05
6615,264,5.0352594039763445e-06
6615,267,1.2588148509940862e-05
6615,268,1.5105778211929033e-05
6615,302,2.5176297019881722e-06
6615,303,3.272918612584624e-05
6616,254,3.0211556423858065e-05
6616,255,5.0352594039763445e-06
6616,257,1.2588148509940862e-05
6616,258,2.5176297019881722e-06
6616,259,0.00034743289887436774
6616,260,0.0003373623800664151
6616,261,7.552889105964516e-06
6616,262,1.7623407913917204e-05
6616,263,1.7623407913917204e-05
6616,264,1.2588148509940862e-05
6616,265,2.5176297019881722e-06
6616,266,3.776444552982258e-05
6616,267,2.5176297019881722e-06
6616,268,2.5176297019881722e-06
6616,302,5.0352594039763445e-06
6616,303,7.552889105964516e-06
6616,307,7.552889105964516e-06
6617,254,1.7623407913917204e-05
6617,255,2.0141037615905378e-05
6617,257,7.552889105964516e-06
6617,258,5.0352594039763445e-06
6617,259,0.0002618334890067699
6617,260,5.0352594039763445e-06
6617,261,5.0352594039763445e-06
6617,262,1.0070518807952689e-05
6617,264,5.0352594039763445e-06
6617,265,1.2588148509940862e-05
6617,266,7.552889105964516e-06
6617,269,2.5176297019881722e-06
6617,270,7.552889105964516e-06
6617,301,5.0352594039763445e-06
6617,302,2.5176297019881722e-06
6618,254,1.2588148509940862e-05
6618,255,3.0211556423858065e-05
6618,256,1.7623407913917204e-05
6618,257,1.2588148509940862e-05
6618,258,2.5176297019881722e-06
6618,259,2.5176297019881722e-06
6618,260,5.0352594039763445e-06
6618,262,1.0070518807952689e-05
6618,263,2.5176297019881722e-06
6618,264,1.7623407913917204e-05
6618,265,0.00015105778211929033
6618,266,7.552889105964516e-06
6618,269,2.5176297019881722e-06
6618,270,2.0141037615905378e-05
6618,271,7.552889105964516e-06
6618,306,6.29407425497043e-05
6619,254,0.0001007051880795269
6619,255,3.0211556423858065e-05
6619,256,4.0282075231810756e-05
6619,257,1.2588148509940862e-05
6619,258,1.7623407913917204e-05
6619,259,2.0141037615905378e-05
6619,260,1.2588148509940862e-05
6619,261,1.0070518807952689e-05
6619,262,1.5105778211929033e-05
6619,263,7.301126135765699e-05
6619,264,0.00014854015241730215
6619,265,6.29407425497043e-05
6619,266,5.0352594039763445e-06
6619,267,1.2588148509940862e-05
