hour,half_hour,probability
0,0,0.017890276662327953
0,1,0.01672209648060544
1,0,0.0161984295025919
1,1,0.01488926205755805
2,0,0.014234678335041126
2,1,0.013585129871928177
3,0,0.01336106082845123
3,1,0.01231372687242415
4,0,0.010780490383913353
4,1,0.009979884138681115
5,0,0.009826308726859837
5,1,0.009879178950601588
6,0,0.010120871401992452
6,1,0.010838395867059081
7,0,0.01224575087047047
7,1,0.014186843370703351
8,0,0.01676237855583725
8,1,0.02138978194809151
9,0,0.023368638893854213
9,1,0.024995027681338572
10,0,0.027132495298326533
10,1,0.027885266579220996
11,0,0.027744279315909656
11,1,0.02796331309998263
12,0,0.026289089348160495
12,1,0.02625636016203465
13,0,0.02748999871600885
13,1,0.028131994290015835
14,0,0.027817290577267315
14,1,0.026279018829352543
15,0,0.025017686348656466
15,1,0.0250957328694181
16,0,0.026148102084849155
16,1,0.02556652962368989
17,0,0.025284555097067212
17,1,0.024753335229947708
18,0,0.025032792126868396
18,1,0.02491698116057694
19,0,0.02550862414054416
19,1,0.02521909672481552
20,0,0.025130979685245934
20,1,0.025533800437564043
21,0,0.025367636877232824
21,1,0.024697947376503968
22,0,0.021641544918290328
22,1,0.020382730067296243
23,0,0.0194763833745805
23,1,0.018668224240242295
