grid_row,grid_col,probability,hour
6602.0,255.0,2.3528107443855577e-06,0.0
6602.0,255.0,2.113216982228171e-06,1.0
6602.0,255.0,1.8910793370279664e-06,2.0
6602.0,255.0,1.7452694189150354e-06,3.0
6602.0,255.0,1.411207259107019e-06,4.0
6602.0,255.0,1.3395002688613463e-06,5.0
6602.0,255.0,1.4247271928287598e-06,6.0
6602.0,255.0,1.7967820777788781e-06,7.0
6602.0,255.0,2.5934313369521952e-06,8.0
6602.0,255.0,3.2875686936024585e-06,9.0
6602.0,255.0,3.7398874888753055e-06,10.0
6602.0,255.0,3.786779410897534e-06,11.0
6602.0,255.0,3.5718295785620506e-06,12.0
6602.0,255.0,3.7809607052451398e-06,13.0
6602.0,255.0,3.677250833911301e-06,14.0
6602.0,255.0,3.40650988267345e-06,15.0
6602.0,255.0,3.515353906053523e-06,16.0
6602.0,255.0,3.4013757306272232e-06,17.0
6602.0,255.0,3.3953858865732875e-06,18.0
6602.0,255.0,3.448267652649451e-06,19.0
6602.0,255.0,3.4439891926109265e-06,20.0
6602.0,255.0,3.4032582530441696e-06,21.0
6602.0,255.0,2.856642198522241e-06,22.0
6602.0,255.0,2.5929179217475696e-06,23.0
6602.0,256.0,7.668420203921252e-06,0.0
6602.0,256.0,6.887522016149237e-06,1.0
6602.0,256.0,6.163517839200615e-06,2.0
6602.0,256.0,5.6882855134993375e-06,3.0
6602.0,256.0,4.599490325977204e-06,4.0
6602.0,256.0,4.365778654065444e-06,5.0
6602.0,256.0,4.643555295144347e-06,6.0
6602.0,256.0,5.856178623870336e-06,7.0
6602.0,256.0,8.452665098212305e-06,8.0
6602.0,256.0,1.0715038705071818e-05,9.0
6602.0,256.0,1.2189262926701446e-05,10.0
6602.0,256.0,1.2342095857736816e-05,11.0
6602.0,256.0,1.1641518626421352e-05,12.0
6602.0,256.0,1.232313118746235e-05,13.0
6602.0,256.0,1.198511382904104e-05,14.0
6602.0,256.0,1.110269887685865e-05,15.0
6602.0,256.0,1.145744976787509e-05,16.0
6602.0,256.0,1.1085965344263546e-05,17.0
6602.0,256.0,1.106644288956924e-05,18.0
6602.0,256.0,1.1238798275298914e-05,19.0
6602.0,256.0,1.1224853664802985e-05,20.0
6602.0,256.0,1.1092100972881738e-05,21.0
6602.0,256.0,9.310537535921855e-06,22.0
6602.0,256.0,8.450991744952785e-06,23.0
6602.0,257.0,7.842702481285192e-07,0.0
6602.0,257.0,7.044056607427237e-07,1.0
6602.0,257.0,6.303597790093221e-07,2.0
6602.0,257.0,5.817564729716785e-07,3.0
6602.0,257.0,4.704024197023396e-07,4.0
6602.0,257.0,4.465000896204487e-07,5.0
6602.0,257.0,4.749090642762532e-07,6.0
6602.0,257.0,5.98927359259626e-07,7.0
6602.0,257.0,8.644771123173983e-07,8.0
6602.0,257.0,1.0958562312008193e-06,9.0
6602.0,257.0,1.2466291629584351e-06,10.0
6602.0,257.0,1.2622598036325112e-06,11.0
6602.0,257.0,1.1906098595206834e-06,12.0
6602.0,257.0,1.2603202350817131e-06,13.0
6602.0,257.0,1.2257502779704335e-06,14.0
6602.0,257.0,1.1355032942244833e-06,15.0
6602.0,257.0,1.1717846353511741e-06,16.0
6602.0,257.0,1.1337919102090743e-06,17.0
6602.0,257.0,1.1317952955244291e-06,18.0
6602.0,257.0,1.1494225508831502e-06,19.0
6602.0,257.0,1.1479963975369755e-06,20.0
6602.0,257.0,1.1344194176813896e-06,21.0
6602.0,257.0,9.522140661740803e-07,22.0
6602.0,257.0,8.643059739158565e-07,23.0
6603.0,254.0,5.228468320856794e-07,0.0
6603.0,254.0,4.6960377382848245e-07,1.0
6603.0,254.0,4.2023985267288133e-07,2.0
6603.0,254.0,3.878376486477856e-07,3.0
6603.0,254.0,3.136016131348931e-07,4.0
6603.0,254.0,2.9766672641363247e-07,5.0
6603.0,254.0,3.1660604285083545e-07,6.0
6603.0,254.0,3.99284906173084e-07,7.0
6603.0,254.0,5.763180748782656e-07,8.0
6603.0,254.0,7.305708208005463e-07,9.0
6603.0,254.0,8.310861086389567e-07,10.0
6603.0,254.0,8.415065357550075e-07,11.0
6603.0,254.0,7.937399063471222e-07,12.0
6603.0,254.0,8.402134900544754e-07,13.0
6603.0,254.0,8.17166851980289e-07,14.0
6603.0,254.0,7.570021961496555e-07,15.0
6603.0,254.0,7.811897569007827e-07,16.0
6603.0,254.0,7.558612734727162e-07,17.0
6603.0,254.0,7.54530197016286e-07,18.0
6603.0,254.0,7.662817005887669e-07,19.0
6603.0,254.0,7.653309316913169e-07,20.0
6603.0,254.0,7.562796117875932e-07,21.0
6603.0,254.0,6.348093774493868e-07,22.0
6603.0,254.0,5.762039826105709e-07,23.0
6603.0,255.0,5.577032875579092e-06,0.0
6603.0,255.0,5.009106920835809e-06,1.0
6603.0,255.0,4.482558428509538e-06,2.0
6603.0,255.0,4.136934918908609e-06,3.0
6603.0,255.0,3.3450838734379667e-06,4.0
6603.0,255.0,3.175111748411232e-06,5.0
6603.0,255.0,3.3771311237413437e-06,6.0
6603.0,255.0,4.259038999178426e-06,7.0
6603.0,255.0,6.1473927986998586e-06,8.0
6603.0,255.0,7.792755421870414e-06,9.0
6603.0,255.0,8.864918492146506e-06,10.0
6603.0,255.0,8.976069714717684e-06,11.0
6603.0,255.0,8.466559001033711e-06,12.0
6603.0,255.0,8.962277227245346e-06,13.0
6603.0,255.0,8.716446421120755e-06,14.0
6603.0,255.0,8.074690092260836e-06,15.0
