time_call_received,triage_impression_during_call,grid_id,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-03-20 07:13:39,A,22680006652000,78,30,0,217,351,718,792,1218
2019-03-20 07:14:41,H,22670006649000,20,30,173,485,457,987,1599,1462
2019-03-20 07:18:27,H,22630006649000,122,30,260,215,1476,513,664,598
2019-03-20 07:18:47,H,22650006641000,24,30,91,310,1224,1132,341,2233
2019-03-20 07:22:34,A,22650006642000,85,30,9,433,635,1147,607,1262
2019-03-20 07:26:01,A,22660006649000,352,30,6,393,1980,0,0,709
2019-03-20 07:26:58,A,22810006647000,83,30,61,759,1523,723,1386,395
2019-03-20 07:44:17,A,22620006649000,148,30,74,60,2574,0,0,108
2019-03-20 07:49:08,H,22600006650000,68,30,58,277,921,356,765,712
2019-03-20 07:53:52,H,22690006654000,1508,30,18,195,704,640,912,970
2019-03-20 08:00:36,H,22610006650000,60,30,188,216,631,188,664,598
2019-03-20 08:28:06,H,22650006641000,158,30,206,574,2869,0,0,434
2019-03-20 08:36:14,A,22440006642000,264,30,58,184,1384,999,460,1195
2019-03-20 08:39:17,A,22870006673000,119,30,8,332,525,1775,1134,2254
2019-03-20 08:40:43,H,22610006638000,12,30,102,699,1265,1489,377,1737
2019-03-20 08:41:38,H,22500006648000,12,30,2,406,1739,487,917,873
2019-03-20 08:42:11,H,22660006626000,41,30,11,206,2000,317,1734,203
2019-03-20 08:42:18,A,22620006649000,94,30,0,60,1963,331,457,465
2019-03-20 08:42:29,H,22690006668000,113,30,141,1216,1697,1620,1431,1192
2019-03-20 08:45:09,A,22630006622000,113,30,9,360,2281,622,516,722
2019-03-20 08:46:14,A,22660006651000,131,30,98,373,3380,574,581,728
2019-03-20 08:47:22,A,22640006651000,50,30,80,423,1344,310,1015,465
2019-03-20 08:50:10,H,22720006655000,144,30,252,258,4088,0,0,336
2019-03-20 08:56:14,A,22630006652000,378,30,68,356,1227,207,865,395
2019-03-20 08:57:19,H,22710006651000,102,30,14,560,703,771,754,1120
2019-03-20 08:59:50,H,22650006641000,606,30,97,310,2906,1132,821,1613
2019-03-20 09:00:05,H,22870006673000,123,30,2,1106,1258,1775,1430,3037
2019-03-20 09:04:56,V1,22570006651000,139,30,269,386,925,84,810,386
2019-03-20 09:05:02,V1,22620006649000,9,30,4,84,871,465,659,465
2019-03-20 09:11:31,A,22650006636000,100,30,61,783,1766,920,815,1579
2019-03-20 09:11:37,H,22620006649000,478,30,73,60,1636,331,250,465
2019-03-20 09:28:50,H,22620006649000,36,30,82,60,481,331,753,465
2019-03-20 09:40:26,H,22720006654000,358,30,18,520,950,953,679,1192
2019-03-20 09:41:08,V1,22620006649000,9,30,15,84,633,465,819,432
2019-03-20 09:42:49,H,22630006646000,364,30,12,238,1129,878,1199,816
2019-03-20 09:49:17,V1,22510006651000,749,30,29,542,1480,1024,528,873
2019-03-20 09:58:33,A,22640006619000,49,30,1,681,5408,0,0,1130
2019-03-20 10:00:19,A,22700006654000,98,30,65,60,1747,692,1605,970
2019-03-20 10:01:30,H,22570006650000,134,30,2,385,849,131,625,359
2019-03-20 10:05:15,H,22600006651000,86,30,161,244,406,244,585,78
2019-03-20 10:09:49,H,22650006652000,35,30,47,526,1574,60,1567,736
2019-03-20 10:10:06,A,23070006643000,21,30,92,95,2218,0,0,125
2019-03-20 10:10:23,A,22640006640000,44,30,4,281,5747,0,0,394
2019-03-20 10:11:35,A,22550006622000,111,30,58,362,2795,0,0,232
2019-03-20 10:12:29,H,22640006652000,5,30,88,416,605,120,1143,1056
2019-03-20 10:13:27,A,22720006654000,305,30,9,520,3201,0,0,729
2019-03-20 10:13:36,H,22580006647000,12,30,1,780,717,604,642,1012
2019-03-20 10:22:27,V1,22550006641000,60,30,466,2275,977,3112,918,1347
2019-03-20 10:28:56,V1,22690006655000,124,30,133,325,739,903,862,970
2019-03-20 10:29:00,A,22660006648000,28,30,73,294,3516,621,1757,981
2019-03-20 10:34:23,A,22650006650000,10,30,123,436,1170,513,915,1126
2019-03-20 10:35:35,H,22620006649000,230,30,126,60,439,331,1166,465
2019-03-20 10:39:23,H,22620006649000,136,30,51,60,1414,331,714,465
2019-03-20 10:39:31,H,22480006647000,68,30,2,383,2256,0,0,536
2019-03-20 10:43:27,V1,22620006651000,36,30,761,367,210,84,1083,395
2019-03-20 10:45:49,H,22610006650000,75,30,210,216,1271,188,666,465
2019-03-20 10:48:35,A,22660006651000,89,30,1,234,331,574,1010,981
2019-03-20 10:50:05,H,22540006651000,140,30,358,189,2259,0,0,266
2019-03-20 10:53:51,A,22630006652000,216,30,74,547,2218,207,360,711
2019-03-20 10:56:52,H,22690006654000,324,30,152,195,1331,640,1134,970
2019-03-20 11:03:49,H,22620006649000,224,30,133,60,269,331,670,465
2019-03-20 11:06:00,H,22660006628000,218,30,12,144,2336,0,0,203
2019-03-20 11:06:54,H,22620006649000,98,30,19,537,861,331,1434,711
2019-03-20 11:07:19,H,22540006631000,139,30,120,1099,501,1375,1067,435
2019-03-20 11:14:26,A,22660006641000,126,30,63,411,1423,1002,611,981
2019-03-20 11:14:33,V1,22590006652000,277,30,176,554,296,214,1455,478
2019-03-20 11:15:02,H,22620006649000,460,30,154,60,519,331,707,225
2019-03-20 11:15:45,H,22560006650000,73,30,110,387,3397,196,2059,679
2019-03-20 11:16:46,V1,22700006652000,17,30,300,524,483,1207,867,878
